,Study,dip_hym_cooks,col_lep_cooks,dip_col_cooks,dip_hemi_cooks,dip_lep_cooks,hemi_col_cooks,hemi_lep_cooks,hym_hemi_cooks,hym_lep_cooks,hym_col_cooks
53.0000,VB1_2009__Boutin 3,0.1515,0.0008,0.0300,0.0820,0.0246,0.2014,0.1161,0.2611,0.0031,0.0140
26.0000,VB1_2012__Carpenter 1,0.0133,0.0202,0.0201,0.0053,0.0156,0.0245,0.0320,0.0243,0.0237,0.0199
55.0000,VB1_2012__Carpenter 2,0.2014,0.5959,0.3212,0.1320,0.2934,0.1945,0.1468,0.4685,0.0620,0.1316
37.0000,VB1_2012__Carpenter 4,0.0298,0.0045,0.0768,0.0308,0.1219,0.0164,0.0209,0.0150,0.0402,0.0160
40.0000,VB1_2012__Carpenter 6,0.0312,0.0425,0.0740,0.0416,0.0485,0.0136,0.0412,0.0923,0.0219,0.0537
89.0000,VB1_2012__LeightonGoodall 1,,,,,,,,,,0.0091
64.0000,VB1_2012a_Carpenter 1,0.5643,2.3117,0.3723,0.3460,0.0770,0.7118,0.3497,0.0614,0.3136,0.3592
66.0000,VB1_2013__Burton 2,1.2017,0.3702,0.4583,0.1451,0.4049,0.4912,0.2639,0.4953,0.2632,0.5234
81.0000,VB1_2015__Burton 1,,,0.0556,,,,,,,
59.0000,VB1_2015__Mumme 1,0.3339,0.0473,0.2612,0.2055,0.7398,0.0446,0.0076,0.4869,0.6627,0.1510
