"Order","Family","genus_or_species_n_rows","total_n_rows","percentage","num_genera_without_genus_value","num_genera_without_genus_value_with_real_names","num_rows_in_real_genera","num_SSBS_in_real_genera","avg_rows_per_SSBS_in_real_genera","countries_by_frequency"
"Coleoptera","Cantharidae",197,6306,0.03,4,4,197,143,1.37762237762238,"United Kingdom, Brazil, Gabon, New Zealand, Argentina"
"Coleoptera","Carabidae",7465,49846,0.15,94,94,7465,901,8.28523862375139,"New Zealand, Portugal, Belgium, Italy, Australia, Namibia, Spain, Canada, France, Japan, Brazil, Gabon, Hungary, Tunisia, China, Denmark, Poland"
"Diptera","Cecidomyiidae",132,1075,0.12,3,3,132,120,1.1,"United Kingdom, Gabon"
"Coleoptera","Cerambycidae",2418,9751,0.25,36,36,2418,460,5.25652173913043,"New Zealand, Hungary, Gabon, Brazil, Japan, Benin, Burkina Faso, Spain, Israel"
"Hymenoptera","Ceraphronidae",12,182,0.07,1,1,12,12,1,"Gabon"
"Hemiptera","Ceratocombidae",12,112,0.11,1,1,12,12,1,"Gabon"
"Diptera","Ceratopogonidae",120,1197,0.1,2,2,120,120,1,"United Kingdom, Gabon"
"Hemiptera","Cercopidae",24,343,0.07,2,2,24,12,2,"Gabon"
"Coleoptera","Cerylonidae",32,851,0.04,2,2,32,32,1,"New Zealand, Gabon"
"Coleoptera","Cetoniidae",1171,2037,0.57,13,3,83,13,6.38461538461539,"Brazil, Colombia"
"Hymenoptera","Chalcididae",726,1177,0.62,60,2,30,30,1,"New Zealand, Gabon"
"Diptera","Chironomidae",212,1520,0.14,7,7,212,140,1.51428571428571,"United Kingdom, New Zealand, Gabon"
"Odonata","Chlorocyphidae",48,48,1,5,5,48,12,4,"Indonesia, India"
"Diptera","Chloropidae",830,1328,0.62,30,30,830,76,10.9210526315789,"Canada, Germany, United States, New Zealand, Gabon"
"Lepidoptera","Choreutidae",152,152,1,1,1,152,152,1,"Portugal"
"Hymenoptera","Chrysididae",12,437,0.03,1,1,12,12,1,"Gabon"
"Coleoptera","Chrysomelidae",2529,15818,0.16,122,29,1413,571,2.47460595446585,"United Kingdom, Gabon, Hungary, New Zealand, Brazil, Kenya"
"Neuroptera","Chrysopidae",59,346,0.17,4,4,59,35,1.68571428571429,"Gabon, Kenya, United Kingdom"
"Hemiptera","Cicadellidae",3416,19285,0.18,44,44,3416,694,4.92219020172911,"Hungary, Guatemala, Brazil, United Kingdom, Portugal, Australia, Gabon, New Zealand, Kenya"
"Hemiptera","Cicadidae",59,103,0.57,2,2,59,41,1.4390243902439,"Brazil, New Zealand, Gabon"
"Coleoptera","Ciidae",192,3089,0.06,1,1,192,192,1,"Portugal"
"Hymenoptera","Cimbicidae",29,29,1,1,1,29,29,1,"Germany"
"Hemiptera","Cixiidae",429,2464,0.17,25,7,213,139,1.53237410071942,"Hungary, New Zealand, Gabon, Australia, Brazil"
